cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002092,C0440459,COEXISTS_WITH,Allergens,honey bee venom,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0003316,C0016564,COEXISTS_WITH,Epitopes,formaldehyde,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0003316,C0048243,COEXISTS_WITH,Epitopes,4-dichlorobenzene,imft,hops,2,COEXISTS_WITH_IMFTcxwtHOPS
C0003320,C0016564,COEXISTS_WITH,Antigens,formaldehyde,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0003320,C0040329,COEXISTS_WITH,Antigens,Tobacco,imft,hops,6,COEXISTS_WITH_IMFTcxwtHOPS
C0003320,C0949307,COEXISTS_WITH,Antigens,formalin,imft,hops,3,COEXISTS_WITH_IMFTcxwtHOPS
C0003339,C0040329,COEXISTS_WITH,Surface Antigens,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0003342,C0040329,COEXISTS_WITH,"Antigens, Viral",Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0019165,C0040329,COEXISTS_WITH,Hepatitis B Antigens,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0019168,C0040329,COEXISTS_WITH,Hepatitis B Surface Antigens,Tobacco,imft,hops,9,COEXISTS_WITH_IMFTcxwtHOPS
C0021009,C0040329,COEXISTS_WITH,Immunoglobulin Fragments,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0021403,C0040329,COEXISTS_WITH,Influenza virus vaccine,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0042211,C0026879,COEXISTS_WITH,"Vaccines, Attenuated",Mutagens,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0058218,C0019126,COEXISTS_WITH,dimethyl fumarate,Hempa,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0301838,C0040329,COEXISTS_WITH,Soluble antigen,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0358297,C0040329,COEXISTS_WITH,Anthrax Vaccines,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0456981,C0949307,COEXISTS_WITH,Specific antigen,formalin,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0524581,C0014264,COEXISTS_WITH,House Dust,Endotoxins,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C0887902,C0040329,COEXISTS_WITH,"Vaccines, Edible",Tobacco,imft,hops,4,COEXISTS_WITH_IMFTcxwtHOPS
C1510928,C0040329,COEXISTS_WITH,Anti-Idiotype Vaccine,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C1519887,C0040329,COEXISTS_WITH,Vaccine Antigen,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C1883036,C0040329,COEXISTS_WITH,Single-Chain Antibodies,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
C2240392,C0040329,COEXISTS_WITH,Hepatitis B Vaccines,Tobacco,imft,hops,1,COEXISTS_WITH_IMFTcxwtHOPS
