cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015392,C0086705,PART_OF,Eye,Newts,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0017067,C0003459,PART_OF,Ganglia,Anura,bpoc,amph,2,PART_OF_BPOCprtfAMPH
C0018787,C0002668,PART_OF,Heart,Amphibians,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0018787,C0003459,PART_OF,Heart,Anura,bpoc,amph,3,PART_OF_BPOCprtfAMPH
C0022646,C0034653,PART_OF,Kidney,Rana pipiens,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0023884,C0034652,PART_OF,Liver,Rana esculenta,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0024109,C0003459,PART_OF,Lung,Anura,bpoc,amph,3,PART_OF_BPOCprtfAMPH
C0027740,C0003459,PART_OF,Nerve,Anura,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0037925,C0003459,PART_OF,Spinal Cord,Anura,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0038351,C0034651,PART_OF,Stomach,Rana catesbeiana,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0039597,C0043343,PART_OF,Testis,Xenopus laevis,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0040357,C0003459,PART_OF,Toes,Anura,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C0700374,C0003459,PART_OF,Palate,Anura,bpoc,amph,11,PART_OF_BPOCprtfAMPH
C0935397,C0034651,PART_OF,Neuroepithelium,Rana catesbeiana,bpoc,amph,1,PART_OF_BPOCprtfAMPH
C1266878,C0002668,PART_OF,Cutaneous gland,Amphibians,bpoc,amph,1,PART_OF_BPOCprtfAMPH
