cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000879,C0002028,INTERACTS_WITH,Acanthamoeba,Algae,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0002028,C0008894,INTERACTS_WITH,Algae,Clams,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0002028,C0162769,INTERACTS_WITH,Algae,Diatoms,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0003831,C1675968,INTERACTS_WITH,Artemia,Mysis,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0003898,C0003903,INTERACTS_WITH,Arthropod Vectors,Arthropods,euka,euka,2,INTERACTS_WITH_EUKAitawEUKA
C0003903,C0010395,INTERACTS_WITH,Arthropods,Subphylum Crustacea,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0003903,C0021585,INTERACTS_WITH,Arthropods,Insecta,euka,euka,2,INTERACTS_WITH_EUKAitawEUKA
C0003903,C0026584,INTERACTS_WITH,Arthropods,Culicidae,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0003903,C0030498,INTERACTS_WITH,Arthropods,Parasites,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0003903,C0040203,INTERACTS_WITH,Arthropods,Ticks,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0006496,C0043041,INTERACTS_WITH,Butterflies,Wasps,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0008781,C0022787,INTERACTS_WITH,Ciliata,Euphausiacea,euka,euka,3,INTERACTS_WITH_EUKAitawEUKA
C0008781,C1460836,INTERACTS_WITH,Ciliata,Thysanoessa inermis,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0008781,C4222868,INTERACTS_WITH,Ciliata,Superba,euka,euka,2,INTERACTS_WITH_EUKAitawEUKA
C0009208,C0040557,INTERACTS_WITH,Dictyoptera <superorder>,Toxoplasma gondii,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0009208,C0444529,INTERACTS_WITH,Dictyoptera <superorder>,Oocysts,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0009276,C1012699,INTERACTS_WITH,Order Coleoptera,Kalotermitidae,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0010260,C0023047,INTERACTS_WITH,Crabs,Larva,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0010260,C2936402,INTERACTS_WITH,Crabs,Metacercariae,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0010284,C0023047,INTERACTS_WITH,Astacoidea,Larva,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0010284,C0322520,INTERACTS_WITH,Astacoidea,Weevils,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0012470,C0022787,INTERACTS_WITH,Dinophyceae,Euphausiacea,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0012578,C0021573,INTERACTS_WITH,Diptera,Insect Vectors,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0012601,C0026584,INTERACTS_WITH,Dirofilaria immitis,Culicidae,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0013102,C0323853,INTERACTS_WITH,Dracunculus medinensis,Copepoda,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0013138,C0023047,INTERACTS_WITH,"Drosophila <fruit fly, genus>",Larva,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0013739,C0085320,INTERACTS_WITH,Eimeria,Eimeria tenella,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0013739,C0320641,INTERACTS_WITH,Eimeria,Eimeria acervulina,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0013739,C0320642,INTERACTS_WITH,Eimeria,Eimeria maxima,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0018882,C0023047,INTERACTS_WITH,Helix (Snails),Larva,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0018893,C0030498,INTERACTS_WITH,Helminths,Parasites,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
C0020045,C0322555,INTERACTS_WITH,Musca domestica (invertebrate),Alphitobius diaperinus,euka,euka,1,INTERACTS_WITH_EUKAitawEUKA
