cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0040682,NEG_AFFECTS,Acclimatization,cell transformation,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0011065,C0007587,NEG_AFFECTS,Cessation of life,Cell Death,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0011065,C1515432,NEG_AFFECTS,Cessation of life,T-Cell Differentiation in the Thymus,orgf,celf,2,NEG_AFFECTS_ORGFnafctCELF
C0012238,C1523936,NEG_AFFECTS,Digestion,cellular biosynthetic process,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0018270,C0007620,NEG_AFFECTS,Growth,Cell Survival,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0018270,C0042774,NEG_AFFECTS,Growth,Virus Replication,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0018270,C1524026,NEG_AFFECTS,Growth,"Metabolic Process, Cellular",orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0026559,C0007613,NEG_AFFECTS,Morphogenesis,Cell physiology,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0026649,C0007608,NEG_AFFECTS,Movement,cell motility,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0026649,C0042774,NEG_AFFECTS,Movement,Virus Replication,orgf,celf,2,NEG_AFFECTS_ORGFnafctCELF
C0026649,C1160716,NEG_AFFECTS,Movement,viral transmission,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0699900,C0312860,NEG_AFFECTS,Catabolism,"Neutrophil migration, function",orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C1155328,C0042774,NEG_AFFECTS,Antiviral Response,Virus Replication,orgf,celf,2,NEG_AFFECTS_ORGFnafctCELF
